cytokine
Activin A [NSU]
IL-1 beta [NSU]
IL-1 alpha [NSU]
IL-10 [NSU]
IL-16 [NSU]
IL-12 p40 [NSU]
IL-17A [NSU]
G-CSF [NSU]
EMMPRIN [NSU]
IFN beta [NSU]
IFN gamma [NSU]
IL-18 [NSU]
PTX3 (Pentraxin 3) [NSU]
Osteopontin (OPN) [NSU]
TNF alpha [NSU]
Oncostatin M (OSM) [NSU]
MMP-9 [NSU]
TNF RII [NSU]
IL-6 [NSU]
IL-2 [NSU]
MMP-1 [NSU]
MIF [NSU]
CCL24 [NSU]
CCL5 [NSU]
CCL1 [NSU]
CCL20 [NSU]
CCL13 [NSU]
CXCL1 [NSU]
CXCL16 [NSU]
CD14 [NSU]
CXCL11 [NSU]
CXCL6 [NSU]
CCL19 [NSU]
GM-CSF [NSU]
CD40L [NSU]
M-CSF [NSU]
FGF-1 [NSU]
GDF-11 (BMP-11) [NSU]
