feature	r2_score	Metadata_number_of_singlecells	DMSO 0.1%_0	LPS_1µg_per_ml
Cytoplasm_Number_Object_Number	0.040984075368303174	0.0009638748383923369	-0.01883517466637919	0.018835174666378948
Cytoplasm_AreaShape_Area	0.010786526627746817	-0.0005275063442769012	0.008373156863758037	-0.00837315686375793
Cytoplasm_AreaShape_BoundingBoxArea	0.015593712333075382	-0.000660484831025683	-0.0009126909234502608	0.0009126909234502493
Cytoplasm_AreaShape_BoundingBoxMaximum_X	0.0003452771553348333	-3.129926063645333e-05	0.018194450597587515	-0.01819445059758728
Cytoplasm_AreaShape_BoundingBoxMaximum_Y	0.00017116333849642729	3.6014525237216185e-05	-0.011397117479146616	0.01139711747914647
Cytoplasm_AreaShape_BoundingBoxMinimum_X	0.0003068284271340316	-3.1369280765669147e-06	0.017630631907285293	-0.017630631907285067
Cytoplasm_AreaShape_BoundingBoxMinimum_Y	0.00028176864240569977	6.182006174322529e-05	-0.011816496837110738	0.01181649683711059
Cytoplasm_AreaShape_Center_X	0.00031793920975087264	-1.731947474335594e-05	0.01792909792562607	-0.017929097925625838
Cytoplasm_AreaShape_Center_Y	0.00021941612994613724	4.8838270176739266e-05	-0.011645901664887187	0.01164590166488704
Cytoplasm_AreaShape_Compactness	0.0017510538737373071	-0.00013128007637533434	-0.032408326931249086	0.03240832693124867
Cytoplasm_AreaShape_ConvexArea	0.014726876229019914	-0.0006374912377263076	6.661362440275092e-05	-6.661362440275009e-05
Cytoplasm_AreaShape_Eccentricity	0.0003865101559119566	-8.466562647339615e-05	-0.0059917188154225715	0.005991718815422495
Cytoplasm_AreaShape_EquivalentDiameter	0.0063082165831653825	-0.00039719586381130664	0.019471807152164466	-0.01947180715216422
Cytoplasm_AreaShape_EulerNumber	8.267473360035194e-05	4.403307158094724e-05	0.003819101856243126	-0.0038191018562430774
Cytoplasm_AreaShape_Extent	0.0016547333333103431	0.00010436977565101173	0.03350174267595332	-0.03350174267595289
Cytoplasm_AreaShape_FormFactor	0.0011715322457567234	8.129834572026378e-05	0.027873344780393182	-0.027873344780392825
Cytoplasm_AreaShape_MajorAxisLength	0.00894140717802483	-0.00048033124756867744	0.0008248456240474995	-0.0008248456240474891
Cytoplasm_AreaShape_MaxFeretDiameter	0.010432603486601355	-0.0005215418690603814	0.006684876376434409	-0.006684876376434325
Cytoplasm_AreaShape_MaximumRadius	0.004787888487405301	-0.00034005070948521466	0.01697289838505689	-0.016972898385056674
Cytoplasm_AreaShape_MeanRadius	0.004652333727914848	-0.00033077663487530014	0.019276541357780234	-0.019276541357779987
Cytoplasm_AreaShape_MedianRadius	0.004509461348332411	-0.0003226145541619567	0.02120672350150884	-0.02120672350150857
Cytoplasm_AreaShape_MinFeretDiameter	0.00698426369885885	-0.0004182930183772923	0.011258174834379724	-0.011258174834379582
Cytoplasm_AreaShape_MinorAxisLength	0.004038254831890686	-0.00030980571281318984	0.015929990956555676	-0.015929990956555472
Cytoplasm_AreaShape_Orientation	5.5252091009094784e-05	-3.4960207629122693e-05	0.0016320132200377986	-0.001632013220037778
Cytoplasm_AreaShape_Perimeter	0.009733937178064478	-0.000504636733833629	0.009957366379405527	-0.0099573663794054
Cytoplasm_AreaShape_Solidity	0.002070171597682746	7.018291199261209e-05	0.04494926443451011	-0.04494926443450954
Cytoplasm_AreaShape_Zernike_0_0	0.0015522314990996655	0.00011244770236906226	0.02979356456808782	-0.029793564568087447
Cytoplasm_AreaShape_Zernike_1_1	2.3187505634902905e-05	2.2733543074477004e-05	-5.1443036413195215e-05	5.1443036413194564e-05
Cytoplasm_AreaShape_Zernike_2_0	0.0018259699390519302	-0.00013376301783340369	0.036161201732073926	-0.03616120173207347
Cytoplasm_AreaShape_Zernike_2_2	0.00042982382761780347	9.795915120162891e-05	-0.00198716730226053	0.001987167302260505
Cytoplasm_AreaShape_Zernike_3_1	5.103448483201323e-05	2.6384345194028533e-05	0.0037250511100296027	-0.003725051110029556
Cytoplasm_AreaShape_Zernike_3_3	0.00020647581763311162	6.229897045865401e-05	0.0038768445250021693	-0.0038768445250021194
Cytoplasm_AreaShape_Zernike_4_0	0.00190298168490588	0.00020565996733249293	-0.010082934227522614	0.010082934227522485
Cytoplasm_AreaShape_Zernike_4_2	0.00014036200267164567	8.128016112361365e-06	0.01149922576163517	-0.011499225761635024
Cytoplasm_AreaShape_Zernike_4_4	0.00032525724639276277	8.37605375467246e-05	0.001213442200173368	-0.0012134422001733524
Cytoplasm_AreaShape_Zernike_5_1	0.0021662433019487004	0.00019173068383425548	0.01764806662812135	-0.017648066628121125
Cytoplasm_AreaShape_Zernike_5_3	3.233470940600114e-05	1.8704414228103057e-05	0.003600791489407093	-0.0036007914894070465
Cytoplasm_AreaShape_Zernike_5_5	3.0927641257449956e-05	2.4718059191035685e-05	0.0012531816954467726	-0.0012531816954467565
Cytoplasm_AreaShape_Zernike_6_0	0.0008532296816746721	0.00013356131986116864	0.003874978357114942	-0.0038749783571148926
Cytoplasm_AreaShape_Zernike_6_2	0.0007231936196652189	9.166109061946812e-05	0.01634757933855666	-0.01634757933855645
Cytoplasm_AreaShape_Zernike_6_4	6.559663923477732e-05	-3.382174128746334e-05	0.004550386729099722	-0.004550386729099664
Cytoplasm_AreaShape_Zernike_6_6	0.00010940684379578958	2.8437813542763747e-05	0.007919764118565155	-0.007919764118565055
Cytoplasm_AreaShape_Zernike_7_1	0.0006508680833571256	9.1975161888678e-05	0.014080837845949188	-0.014080837845949011
Cytoplasm_AreaShape_Zernike_7_3	0.0003142474722704902	7.919357161840315e-05	0.004082048381700716	-0.004082048381700665
Cytoplasm_AreaShape_Zernike_7_5	3.2901850232303076e-05	-1.8880420943008076e-05	0.004590865427764273	-0.004590865427764215
Cytoplasm_AreaShape_Zernike_7_7	4.78569017735575e-05	3.250902291364764e-05	-0.0006918504961778628	0.000691850496177854
Cytoplasm_AreaShape_Zernike_8_0	0.0005456135706288778	9.987398933873718e-05	0.007470340365182368	-0.007470340365182274
Cytoplasm_AreaShape_Zernike_8_2	0.00039314489339392633	8.781294188579656e-05	0.004911184092773921	-0.004911184092773859
Cytoplasm_AreaShape_Zernike_8_4	7.094804532437049e-05	5.074619361342475e-06	0.008200895142320825	-0.008200895142320721
Cytoplasm_AreaShape_Zernike_8_6	0.000260206209335867	-7.527986926224811e-05	0.003571195509154047	-0.0035711955091540016
Cytoplasm_AreaShape_Zernike_8_8	0.00011010041621861699	4.764785167957796e-05	0.0017960501706730213	-0.0017960501706729985
Cytoplasm_AreaShape_Zernike_9_1	0.00014725406226279159	5.2920184823615615e-05	0.003514850898897839	-0.0035148508988977947
Cytoplasm_AreaShape_Zernike_9_3	3.700730131894758e-05	2.646617754598992e-05	0.0018066876012338474	-0.0018066876012338248
Cytoplasm_AreaShape_Zernike_9_5	1.147261559863999e-06	-3.236447710581164e-06	-0.0007481675060979527	0.0007481675060979431
Cytoplasm_AreaShape_Zernike_9_7	0.0001876082874838758	-5.9389715632973084e-05	-0.004105147212842692	0.00410514721284264
Cytoplasm_AreaShape_Zernike_9_9	5.612953281597388e-05	3.538092483123186e-05	-0.0016191733656868916	0.0016191733656868712
Cytoplasm_Correlation_Correlation_CorrDNA_CorrER	0.002312060160481133	-0.00019724486378231955	0.035776318916496255	-0.035776318916495804
Cytoplasm_Correlation_Correlation_CorrDNA_CorrGasdermin	0.004243807503743091	-0.0003129472403702196	0.034224688548600175	-0.03422468854859974
Cytoplasm_Correlation_Correlation_CorrDNA_CorrMito	0.005441601557410469	-0.00036066013728468265	0.035219320544576445	-0.035219320544576
Cytoplasm_Correlation_Correlation_CorrDNA_CorrPM	0.0033463520640660827	-0.00014879620705217798	0.05798280336734092	-0.05798280336734018
Cytoplasm_Correlation_Correlation_CorrDNA_CorrRNA	0.0029952849743832832	-0.0002259488541193792	0.042186933458377616	-0.04218693345837708
Cytoplasm_Correlation_Correlation_CorrER_CorrGasdermin	0.0027792479388809577	-8.23796084820933e-05	0.05006079669658037	-0.050060796696579736
Cytoplasm_Correlation_Correlation_CorrER_CorrMito	0.0031533627318695023	-9.562774748507793e-05	0.05149074843372864	-0.05149074843372798
