feature	r2_score	Metadata_number_of_singlecells	DMSO 0.1%_0	Thapsi_1µM
Cytoplasm_Number_Object_Number	0.06825693440032565	0.0009050915791536618	-0.031624846835545076	0.031624846835545214
Cytoplasm_AreaShape_Area	0.012975932586050232	0.0003629805675685104	0.020153108573896638	-0.020153108573896735
Cytoplasm_AreaShape_BoundingBoxArea	0.00906918493564346	0.0002727166490716857	0.03564296433056125	-0.03564296433056141
Cytoplasm_AreaShape_BoundingBoxMaximum_X	0.00039703191840945173	2.1681380609015738e-05	0.017549168559177368	-0.017549168559177444
Cytoplasm_AreaShape_BoundingBoxMaximum_Y	8.813016668129947e-05	2.505443063615679e-05	-0.007540249405719042	0.007540249405719077
Cytoplasm_AreaShape_BoundingBoxMinimum_X	0.0002497507117319442	1.810140318734695e-06	0.01570238947858604	-0.015702389478586112
Cytoplasm_AreaShape_BoundingBoxMinimum_Y	8.719312140614832e-05	2.47636056994238e-06	-0.009465101180512017	0.00946510118051206
Cytoplasm_AreaShape_Center_X	0.0003122607991288273	1.15877750937467e-05	0.016632197184234417	-0.016632197184234494
Cytoplasm_AreaShape_Center_Y	7.654095240061665e-05	1.4216067888726629e-05	-0.008623551467787822	0.008623551467787862
Cytoplasm_AreaShape_Compactness	0.025863069589032728	-0.000586318992203687	0.06768255383210763	-0.06768255383210794
Cytoplasm_AreaShape_ConvexArea	0.01163975392052774	0.0003169900933365146	0.03678780396823751	-0.03678780396823769
Cytoplasm_AreaShape_Eccentricity	0.0007441329283632836	-9.413914636112488e-05	0.008962027775588969	-0.008962027775589009
Cytoplasm_AreaShape_EquivalentDiameter	0.02614875028510888	0.0005410779119409644	0.02001134338226389	-0.020011343382263982
Cytoplasm_AreaShape_EulerNumber	0.0005169710002930206	9.398645049282814e-05	-0.004048542344788145	0.004048542344788164
Cytoplasm_AreaShape_Extent	0.029801222846173703	0.0006248202746985108	-0.02805459718905297	0.028054597189053093
Cytoplasm_AreaShape_FormFactor	0.019322111439448286	0.0004728783061632244	-0.06562950599136276	0.06562950599136307
Cytoplasm_AreaShape_MajorAxisLength	0.012683341496737333	0.0003439925397510151	0.03287814448430713	-0.03287814448430728
Cytoplasm_AreaShape_MaxFeretDiameter	0.013300066080364603	0.0003548057176363331	0.033964356110969054	-0.033964356110969214
Cytoplasm_AreaShape_MaximumRadius	0.01537576570943655	0.00042228608468729896	0.006754918673619235	-0.006754918673619266
Cytoplasm_AreaShape_MeanRadius	0.015638044797020023	0.0004329104245625375	-0.002286065805777396	0.002286065805777407
Cytoplasm_AreaShape_MedianRadius	0.017555253261029025	0.000461087345665746	-0.007442014033445195	0.0074420140334452295
Cytoplasm_AreaShape_MinFeretDiameter	0.024065495849539986	0.0004958740661108288	0.03339696683179085	-0.03339696683179101
Cytoplasm_AreaShape_MinorAxisLength	0.026011103780120504	0.0005252566888823857	0.02365490784254564	-0.023654907842545748
Cytoplasm_AreaShape_Orientation	4.7259354313933244e-05	-2.375512967182072e-05	0.0011873360873715297	-0.0011873360873715353
Cytoplasm_AreaShape_Perimeter	0.022926914180743663	0.00042487790464184276	0.06277653764970761	-0.0627765376497079
Cytoplasm_AreaShape_Solidity	0.03471548887217846	0.0006963226311301084	-0.0401664293081992	0.040166429308199386
Cytoplasm_AreaShape_Zernike_0_0	0.025125936138809424	0.0005616718220721264	-0.01910455553324148	0.01910455553324157
Cytoplasm_AreaShape_Zernike_1_1	0.0030970527190150587	0.00018846347276616908	5.823311662395738e-05	-5.823311662395766e-05
Cytoplasm_AreaShape_Zernike_2_0	0.009943696494458254	0.0003458717339203666	-0.007467775834251853	0.0074677758342518875
Cytoplasm_AreaShape_Zernike_2_2	0.0054911280602698564	0.00025697677702052644	-0.01256398086770381	0.01256398086770387
Cytoplasm_AreaShape_Zernike_3_1	0.0018614132208198964	0.0001485928874192771	-0.009423331805125796	0.009423331805125841
Cytoplasm_AreaShape_Zernike_3_3	0.0015471909516112659	0.00013547587486325855	-0.00986178920278023	0.009861789202780274
Cytoplasm_AreaShape_Zernike_4_0	0.0015555971308158778	0.00013178664200090727	-0.019591442485312895	0.019591442485312985
Cytoplasm_AreaShape_Zernike_4_2	0.005752065127361816	0.00026053422696489434	-0.011434948105722945	0.011434948105723
Cytoplasm_AreaShape_Zernike_4_4	0.0012444206208279684	0.00012156614251622691	-0.011625829417876044	0.011625829417876097
Cytoplasm_AreaShape_Zernike_5_1	0.007990137905952488	0.0003088782604509067	-0.02315521721075023	0.023155217210750333
Cytoplasm_AreaShape_Zernike_5_3	0.0003725179016632607	6.45797370616753e-05	0.0008579254375600377	-0.0008579254375600419
Cytoplasm_AreaShape_Zernike_5_5	0.0007089562640592018	9.073852984674509e-05	-0.0018874440560206311	0.00188744405602064
Cytoplasm_AreaShape_Zernike_6_0	0.005109748724542285	0.00024698341185709865	-0.020051559902512277	0.02005155990251237
Cytoplasm_AreaShape_Zernike_6_2	0.0018758686383689716	0.00014677001105866807	-0.001600891159473412	0.0016008911594734194
Cytoplasm_AreaShape_Zernike_6_4	0.0008968293259552507	0.00010205190807252247	-0.0036237272948124524	0.0036237272948124693
Cytoplasm_AreaShape_Zernike_6_6	0.00016446347559462282	3.886453170322371e-05	-0.008805380244857228	0.00880538024485727
Cytoplasm_AreaShape_Zernike_7_1	0.006773092721028884	0.0002814130056326914	-0.005781870587255246	0.005781870587255273
Cytoplasm_AreaShape_Zernike_7_3	0.00038407695112596674	5.770144339499539e-05	0.00660475040636645	-0.006604750406366482
