feature	r2_score	Metadata_number_of_singlecells	DMSO 0.1%_0	H2O2_500µM
Cytoplasm_Number_Object_Number	0.0351060579853697	0.0005520715615602936	0.12667414165734486	-0.126674141657347
Cytoplasm_AreaShape_Area	0.00171910565409239	0.00013902046386891386	0.03509851878129253	-0.03509851878129312
Cytoplasm_AreaShape_BoundingBoxArea	0.0014223465387527279	0.00013463163313331142	0.02531510962840869	-0.025315109628409115
Cytoplasm_AreaShape_BoundingBoxMaximum_X	6.062601312795124e-05	4.094959020984263e-06	-0.013841711546370594	0.013841711546370827
Cytoplasm_AreaShape_BoundingBoxMaximum_Y	0.0021203371646014713	-0.0002256783564345776	0.0795130568512644	-0.07951305685126575
Cytoplasm_AreaShape_BoundingBoxMinimum_X	0.00012148292247227133	-1.1584210825029644e-05	-0.015462685848139333	0.015462685848139594
Cytoplasm_AreaShape_BoundingBoxMinimum_Y	0.0023367666587384983	-0.0002444491470712948	0.07863085066456334	-0.07863085066456467
Cytoplasm_AreaShape_Center_X	8.616564876684496e-05	-3.8165017267825495e-06	-0.014597156708362004	0.014597156708362253
Cytoplasm_AreaShape_Center_Y	0.0022199786531901244	-0.00023522010114625488	0.07880874781756793	-0.07880874781756926
Cytoplasm_AreaShape_Compactness	0.05505486858366215	-0.0013901820742525655	0.08045612763828529	-0.08045612763828665
Cytoplasm_AreaShape_ConvexArea	0.0018358163138544326	0.00014288884400655709	0.0350992253873544	-0.03509922538735499
Cytoplasm_AreaShape_Eccentricity	0.000834689904985253	-2.22178197536167e-05	-0.04278535311698711	0.042785353116987834
Cytoplasm_AreaShape_EquivalentDiameter	0.009992105433772935	0.00040075045864177875	0.03271720765467167	-0.032717207654672224
Cytoplasm_AreaShape_EulerNumber	0.09786658123837266	0.026271512958265707	-1.8086765224892662	1.808676522489297
Cytoplasm_AreaShape_Extent	0.011524997733094677	0.00044193076709303736	0.02571470796202851	-0.025714707962028942
Cytoplasm_AreaShape_FormFactor	0.010868194194096792	0.0004629831716369389	-0.0020783795048991524	0.0020783795048991876
Cytoplasm_AreaShape_MajorAxisLength	0.005369048827255418	0.0003110243298188612	0.011770237166363693	-0.011770237166363893
Cytoplasm_AreaShape_MaxFeretDiameter	0.005264396650392911	0.00030695093700561183	0.013569692939973534	-0.013569692939973763
Cytoplasm_AreaShape_MaximumRadius	0.005557203263671484	0.000333018809228215	0.004062495513261059	-0.004062495513261127
Cytoplasm_AreaShape_MeanRadius	0.005785836600428862	0.0003325349739883279	0.00830408675089977	-0.00830408675089991
Cytoplasm_AreaShape_MedianRadius	0.006633867174348329	0.0003458090107370573	0.01466651595732818	-0.014666515957328428
Cytoplasm_AreaShape_MinFeretDiameter	0.009032771871023804	0.00034724807038623973	0.0478011204018423	-0.0478011204018431
Cytoplasm_AreaShape_MinorAxisLength	0.01147610149811662	0.0003885829010256083	0.053321779311561665	-0.05332177931156256
Cytoplasm_AreaShape_Orientation	0.00011155295060072401	4.1179498219896626e-05	0.0029923747466264056	-0.0029923747466264563
Cytoplasm_AreaShape_Perimeter	0.0020997355266439977	0.00010461509617077935	0.05444481694255272	-0.05444481694255364
Cytoplasm_AreaShape_Solidity	0.013641174989809879	0.0005258957790887436	0.008138388417231803	-0.00813838841723194
Cytoplasm_AreaShape_Zernike_0_0	0.009281537865352685	0.0003577206471761844	0.0414088958586229	-0.041408895858623604
Cytoplasm_AreaShape_Zernike_1_1	0.0014898098550588657	0.00015984252179300693	0.006181043402196702	-0.006181043402196806
Cytoplasm_AreaShape_Zernike_2_0	0.003783181184770723	0.0002441763000328433	0.016437322647016587	-0.016437322647016864
Cytoplasm_AreaShape_Zernike_2_2	0.0019813802642837386	0.0002138369530120308	-0.015257730212950415	0.015257730212950672
Cytoplasm_AreaShape_Zernike_3_1	0.0011466357894602819	0.00017085228502672654	-0.01981612525592714	0.019816125255927474
Cytoplasm_AreaShape_Zernike_3_3	0.0011970911808861784	0.00014268933924599787	0.004541943106285815	-0.004541943106285891
Cytoplasm_AreaShape_Zernike_4_0	0.000979280271268812	7.973068334826412e-05	0.028014337702808548	-0.02801433770280902
Cytoplasm_AreaShape_Zernike_4_2	0.0031330168781970036	0.0002268589236628383	0.010435712580433514	-0.010435712580433689
Cytoplasm_AreaShape_Zernike_4_4	0.00015839273076556637	6.48764313268155e-05	-0.020310530554955457	0.020310530554955797
Cytoplasm_AreaShape_Zernike_5_1	0.003426663404036523	0.00026627706102316676	-0.007981868120009174	0.00798186812000931
Cytoplasm_AreaShape_Zernike_5_3	0.0006392440555331724	0.00011293754912128824	-0.0020519040290053483	0.002051904029005383
Cytoplasm_AreaShape_Zernike_5_5	0.0003438795353426505	9.355424743627831e-05	-0.010544870191930485	0.010544870191930662
Cytoplasm_AreaShape_Zernike_6_0	0.002108322322930123	0.00015451726510718537	0.024555775147735708	-0.02455577514773612
Cytoplasm_AreaShape_Zernike_6_2	0.0013415098162060657	0.00012450149079494167	0.019436238091891867	-0.019436238091892193
Cytoplasm_AreaShape_Zernike_6_4	0.0003864354283633631	0.00010355732653089634	-0.01774096719587583	0.01774096719587613
Cytoplasm_AreaShape_Zernike_6_6	3.2683152091372847e-06	7.682066059405842e-06	-0.0035638532224754275	0.0035638532224754873
Cytoplasm_AreaShape_Zernike_7_1	0.0036765136481921035	0.00026023435463988677	0.0018735308714758299	-0.0018735308714758613
Cytoplasm_AreaShape_Zernike_7_3	0.0013726382580068197	0.00018725944804149895	-0.021094890709660627	0.02109489070966098
Cytoplasm_AreaShape_Zernike_7_5	0.00034107438496222553	9.406128304264144e-05	-0.01048306386058342	0.010483063860583595
Cytoplasm_AreaShape_Zernike_7_7	8.42227873755208e-05	4.43964916330685e-05	-0.0033634030406703395	0.0033634030406703964
Cytoplasm_AreaShape_Zernike_8_0	0.0010427194420165042	0.00013970446453317006	0.0007096516869485455	-0.0007096516869485574
Cytoplasm_AreaShape_Zernike_8_2	0.0016869797580961743	0.00014586546218941772	0.01876837027154711	-0.018768370271547426
Cytoplasm_AreaShape_Zernike_8_4	0.0005986096973549238	0.00011740711508274488	-0.008456043431517698	0.00845604343151784
Cytoplasm_AreaShape_Zernike_8_6	6.378501483028653e-05	-1.1055039440892472e-05	-0.010458094130702842	0.010458094130703019
Cytoplasm_AreaShape_Zernike_8_8	0.00027230068620354153	5.8971231904041436e-05	-0.03375502963427758	0.03375502963427814
Cytoplasm_AreaShape_Zernike_9_1	0.0012580322001621846	0.00016445631536222765	-0.007331701194807246	0.0073317011948073685
Cytoplasm_AreaShape_Zernike_9_3	0.001165378397599115	0.0001349009640736037	0.008954914555574218	-0.008954914555574369
Cytoplasm_AreaShape_Zernike_9_5	0.00014444439700223022	6.222331717084156e-05	-0.019162777914373683	0.01916277791437401
Cytoplasm_AreaShape_Zernike_9_7	1.5700196396850608e-05	1.8043824164261688e-05	-0.007539561583540938	0.0075395615835410655
Cytoplasm_AreaShape_Zernike_9_9	5.530007349707766e-06	5.98528701902475e-06	-0.004821601120161448	0.004821601120161529
Cytoplasm_Correlation_Correlation_CorrDNA_CorrER	0.0013205638844741019	0.00016640302760538578	-0.07320441013171464	0.07320441013171587
Cytoplasm_Correlation_Correlation_CorrDNA_CorrGasdermin	0.0016070349800728634	0.00010883228143379123	-0.0866398892766783	0.08663988927667976
Cytoplasm_Correlation_Correlation_CorrDNA_CorrMito	0.002289243675960506	1.8018027858028322e-05	-0.08752183937923352	0.087521839379235
Cytoplasm_Correlation_Correlation_CorrDNA_CorrPM	0.001400172517822762	7.793394255793521e-05	-0.07733684381429509	0.0773368438142964
