Metadata_Well,B13,C13,D13,E13,F13,G13,H13,I13,J13,K13,L13,M13,N13,O13,B14,C14,D14,E14,F14,G14,H14,I14,J14,K14,L14,M14,N14,O14,B15,C15,D15,E15,F15,G15,H15,I15,J15,K15,L15,M15,N15,O15,B16,C16,D16,E16,F16,G16,H16,I16,J16,K16,L16,M16,N16,O16,B17,C17,D17,E17,F17,G17,H17,I17,J17,K17,L17,M17,N17,O17,B18,C18,D18,E18,F18,G18,H18,I18,J18,K18,L18,M18,N18,O18,B19,C19,D19,E19,F19,G19,H19,I19,J19,K19,L19,M19,N19,O19,B20,C20,D20,E20,F20,G20,H20,I20,J20,K20,L20,M20,N20,O20,B21,C21,D21,E21,F21,G21,H21,I21,J21,K21,L21,M21,N21,O21,B22,C22,D22,E22,F22,G22,H22,I22,J22,K22,L22,M22,N22,O22,B23,C23,D23,E23,F23,G23,H23,I23,J23,K23,L23,M23,N23,O23
B13,1.0,0.9608204881137957,0.9719400128658462,0.9715284932564696,0.9729282394792763,0.9751821251136974,0.9748745440771409,0.9745898837348892,0.972240167419883,0.9673626193100275,0.9618896503456024,0.9551996570376242,0.9816206017937533,0.9704885657282023,0.980598419926231,0.9681742341817681,0.9391730934898112,0.9101476262173593,0.9786967825867395,0.9781887479943734,0.9744493918354129,0.9662163515281912,0.9690736606648015,0.9380244180025641,0.9160859880880278,0.9770973624542774,0.9803911526684194,0.9677021147412184,0.9755027179274071,0.9727796677654463,0.9288160082359869,0.9077505766665109,0.9760276561163912,0.9665676827557566,0.9796014155661348,0.9753115079590565,0.9780776814352293,0.9417346024873516,0.9089004533060394,0.9754745311760221,0.9780251422721769,0.9681957648841838,0.9795979107255549,0.9655769644556162,0.9592416572927204,0.9515180311280835,0.941141259602552,0.9395878034917756,0.9362416196349781,0.9463871892107963,0.9494537467199333,0.9342883585681413,0.9323854044536726,0.9359741303158655,0.9183991119482855,0.8975016610415906,0.9829101871160073,0.9704849144683552,0.9567941936943593,0.9534860652242111,0.9419506592537432,0.9418168901604537,0.9398589790761677,0.952215034731074,0.9453787392339943,0.9387186685717939,0.9148910188528534,0.9226254850538227,0.9263292871899189,0.9055845461455164,0.9414745370293773,0.9322103392064222,0.918393778450312,0.9745171262535687,0.9509470208589655,0.9701170414537686,0.9786890320282168,0.9172581217822854,0.9162075737863007,0.9511999905285312,0.9531832215525747,0.9545270258725247,0.9335781327171455,0.9740855280545325,0.9427375051521023,0.926688991910204,0.9010428703558294,0.9740203758462586,0.9551293022837805,0.9601926636124118,0.9793819592926695,0.9360447206676057,0.922261134109617,0.941252984642206,0.9583006824891332,0.9557300145830305,0.9193145446832343,0.9762644767437101,0.9822955209107815,0.9727149317020934,0.9613958533394443,0.95622924055247,0.9396512896262552,0.9318478633216792,0.933120229344267,0.950504280557067,0.9413450026992963,0.9347951042661627,0.9273285581078883,0.9327676349478025,0.9157572455939663,0.8919738229145139,0.972135294487215,0.9660709681026467,0.9513949152117,0.9521621861960337,0.9370982589446544,0.9387930229940226,0.9350896805578734,0.950464763981006,0.9430709009682531,0.9296838876905811,0.9271307429625871,0.9294765241112837,0.8961139156916471,0.9116062862256054,0.9391705101123242,0.9331638220474354,0.9112058056466983,0.9697320219833863,0.9486889310745048,0.9620254916251351,0.9780228612413872,0.9256946590287999,0.9345918505539401,0.9481733467298851,0.9585469166427226,0.9583624660794776,0.9382479792209396,0.9701230109730636,0.9421623843946899,0.9294590440334338,0.9187669083381386,0.9739959485227843,0.9421110450005729,0.965947204075922,0.9764633689070938,0.9081364940005763,0.9249542465746287,0.9473223699885506,0.9530693889771051,0.9527735139205283,0.9194133702546096,0.9663304242274651
C13,0.9608204881137957,1.0,0.9667690048401525,0.953008547279637,0.9670253940283517,0.9715043336279969,0.9672694808949055,0.9640464315749058,0.9770041277508804,0.97495404637093,0.9676447855724636,0.9660408659087555,0.9648741680575981,0.9635415820829787,0.9709242219311145,0.9801543281448198,0.9329598395830686,0.9072379351168842,0.9700865150485926,0.9625948150635751,0.9664515356038785,0.9706287003288483,0.9689918631580462,0.9390989465821333,0.9121684553893958,0.9535862016305124,0.960197116532411,0.9674328167825398,0.975178521159293,0.970752220896011,0.9385070020524463,0.9019016610334706,0.960775271337118,0.9693876109000821,0.9566395115851045,0.966543580015442,0.9735688017514669,0.9395770954122695,0.9061792797019828,0.9576910826783968,0.9620863283500528,0.9471419873983267,0.969063503096838,0.9626134550387504,0.9517958448820077,0.939318096557212,0.9301209943321472,0.9326268802182548,0.9234033990790329,0.9539711268972894,0.9315485795927593,0.9320916944182467,0.9155214951035919,0.9184359089633659,0.8944864901322469,0.88724093666669,0.9668307217532982,0.9617743660918389,0.9393284117437989,0.9404746320220044,0.9370122745612541,0.9301857264162372,0.9246010098937997,0.9526555651266626,0.9240747486141915,0.9244039051743312,0.8982683208011404,0.9017793676047099,0.8967936464651362,0.8932186662520458,0.9089357191497914,0.9135360593401369,0.8922768457064348,0.9615245204204338,0.9369078473001236,0.955894529695782,0.971063659877376,0.9250996683969445,0.9035339326207911,0.9531639821516918,0.9490778434986367,0.9398040888946779,0.9087078804521854,0.9696945743907911,0.9135778312100251,0.9105657667659831,0.8746254698033517,0.9616558970920321,0.934771097138685,0.95409326779027,0.9692791907077404,0.9365305146575644,0.9104769705601354,0.9344404035678944,0.9387420358757312,0.9400627312790218,0.8935862581322425,0.9661898210894755,0.9626331650139982,0.9643476236981887,0.946086551700367,0.9450315176514115,0.9315757695740265,0.9159592810014114,0.9157709139650804,0.9526252564160406,0.9090306601585391,0.924126816532063,0.9107487374353744,0.9185741171615155,0.8892950137535509,0.8850864535897419,0.9679525931090885,0.9618200156880299,0.9373503539999207,0.9416176095848205,0.915959974863798,0.9380904455091386,0.9145865506780378,0.9550453812081036,0.9276754750845467,0.9146951983057465,0.9068706189008928,0.9104055580641077,0.8616505117353238,0.8972776285403025,0.9128923138803448,0.9194143392156213,0.8816275315760416,0.9579418368444397,0.9262837095821667,0.9457235023423977,0.9700302968308947,0.9501706667846863,0.9229558386173469,0.958482023436235,0.9471537516436928,0.9480745906827421,0.9100481281991704,0.9690638418474448,0.9183661434311449,0.9220676665746743,0.901043315786781,0.9719459150694373,0.9301922602230747,0.9534610009699948,0.9699607151660288,0.9250576354152098,0.8987874797415735,0.9460187558074793,0.9325097963204287,0.9418414328967529,0.8817180160798026,0.9600880509420424
D13,0.9719400128658462,0.9667690048401525,1.0,0.9731339985257426,0.9837979301320584,0.9796747155360865,0.9793242825536888,0.969614028459592,0.9725870525627391,0.9803325705621392,0.9641703247682234,0.9731917294395124,0.9834955200535322,0.9802182264173495,0.9768477890787067,0.9694403442277896,0.9576132775663407,0.9329819505398673,0.9694780680501108,0.9703777468769479,0.9624233999579597,0.9623539892762998,0.9592360350631114,0.959345020453375,0.9412398056923871,0.9694263251132818,0.970965930943194,0.9606929186680018,0.9756134154581108,0.9723840748315069,0.9449668562359579,0.9361728250433593,0.9672136295630741,0.9582816110761372,0.9700730088066063,0.9728888517968189,0.9743702052207661,0.9576019375755581,0.9337739539824438,0.9675870757340996,0.9712164183926754,0.9600609364462419,0.9778577262887734,0.9643613725743073,0.9565702748794794,0.9523737884992188,0.9400298317528886,0.9323931433774234,0.9340106851657868,0.9634180218600991,0.9438489094020073,0.9385832151823521,0.9260200211543593,0.9340215183404931,0.9155300707585529,0.9233689358840762,0.9756215013600369,0.9689388533702775,0.954662581612736,0.9525148179277739,0.9436210945436745,0.9412438509953575,0.9356535588355112,0.9687950809419323,0.9420600727766172,0.9415713046317138,0.9110976956968223,0.930554607136912,0.9232663837270747,0.9332955241201274,0.9367587262662499,0.9338571011214245,0.9146625000914379,0.9655016288712461,0.9374766694917339,0.9560235952950801,0.9687898620864785,0.9390574459442929,0.9153324139021695,0.9710950924511232,0.9558974619896228,0.9551839658383998,0.9274790329944408,0.9710321494570563,0.9365734400579158,0.929203143233827,0.8893923774676926,0.9690200686904733,0.9399179718775863,0.9485324701810045,0.9726632170291938,0.9517733731587906,0.9222521063776161,0.965610625251264,0.9593046863508589,0.9516706873122742,0.9121327890728154,0.9742052352124675,0.9761944470653107,0.970296983291014,0.9549659677337818,0.952666698217103,0.9362747427643963,0.9240006791748211,0.9235114478388756,0.9699154300712493,0.942675051108398,0.940456446522891,0.9235271144171804,0.929739645316495,0.9113126947027156,0.9236396426974436,0.9727520578816882,0.9612850544475048,0.9562687317083516,0.9504650460517565,0.9321365231391167,0.9305746839561501,0.9307904372880624,0.9678577380892345,0.9421576145486406,0.9321304125337061,0.9248346467207657,0.9316909108339807,0.8900734284019822,0.9424285404220244,0.9371806475353324,0.931006545692548,0.9019614163737085,0.9630384574336337,0.9280947125122683,0.9489471909778466,0.971954840541577,0.9467673459828148,0.9323362059759751,0.9672221540134122,0.9571294116603694,0.9595804863252064,0.928195535251561,0.9701890513406269,0.9359118233158773,0.9316659122821529,0.9094749549786886,0.9696596023151123,0.922535907910771,0.9540913156179391,0.9718568226399059,0.9334333695784396,0.9133693492284173,0.9673644357361406,0.9578279210460076,0.9540884062100223,0.9112705176274665,0.9739645953075857
E13,0.9715284932564696,0.953008547279637,0.9731339985257426,1.0,0.9699773539752884,0.9705805887840926,0.9749717572713795,0.9657296743753625,0.9555140188808494,0.9619663794872036,0.9502215491945452,0.9512518135055774,0.9755862341385216,0.9718179039326131,0.9713564100868515,0.9535349582156679,0.9376727425591264,0.9182533657879299,0.9601856793461958,0.9645949620246171,0.9596469577385791,0.9515827679522325,0.9481989119335259,0.9389762469981995,0.9222493947723611,0.9623951216284241,0.9732101721671894,0.955551944438102,0.9657033908296924,0.9696544592951527,0.9255291822003948,0.9150322371867275,0.9619991850272438,0.9535198781377229,0.9685954645869764,0.9662530619907066,0.9641056772042498,0.938949231279872,0.9131271202889378,0.9659489053024997,0.9725596836137358,0.9605709995419496,0.9726779548623271,0.9580462505736894,0.9538273748532424,0.9446657021877422,0.938096702401909,0.9311804575161209,0.9296603123119738,0.9448877086528422,0.9401018672983292,0.9313669917170684,0.9245029280099065,0.9262394813599849,0.9084592731646666,0.8969457470448717,0.9687699103210232,0.9615218151024011,0.9515662484598474,0.9501667371644609,0.9344229638583802,0.9401698678611393,0.9332327235660361,0.952095526764904,0.9386366279763839,0.9406374344157259,0.9004085613364337,0.91615721977842,0.9155931035225067,0.9044822020676988,0.9360543637337975,0.9299299183831132,0.9129838579914094,0.9686830092409394,0.9503037577580141,0.9564163536355936,0.9614560273739167,0.9218019403388635,0.9126398282365026,0.9476958634590396,0.9465339109239153,0.9475531256160962,0.9347413768282888,0.9684524028226562,0.9343998115487777,0.9252571039201168,0.8826912026432607,0.9674727183435275,0.944204373188544,0.9499617834406942,0.9656788823549862,0.9450927306824124,0.9201157249704248,0.9497812506207913,0.956111501601802,0.9439276981669544,0.9217285924547904,0.9701331560179905,0.9707566650691724,0.963581820697197,0.9549443683823372,0.9477612728466281,0.930284616781244,0.9327878784568058,0.9310110833056501,0.95732341387624,0.940137617051291,0.9356491651893553,0.9147493697705822,0.9224093038855065,0.9078438685815089,0.9009982024883436,0.9588428091817331,0.9541507779536768,0.9527626278684169,0.9444293495449955,0.934871284477598,0.9268745793681011,0.9323200161285171,0.9493392508369332,0.9356866048092342,0.9269230893557969,0.9208998618998189,0.924211802931503,0.8892564631366572,0.9152826823658277,0.9301401825493278,0.9255432282282178,0.9010139648392775,0.9647666837288165,0.9437992860328597,0.9509750606337679,0.9703674167632457,0.9292551044430003,0.9308818563710585,0.9503483141897134,0.9466085669831671,0.9529302534163506,0.9322178533836946,0.9664350556367551,0.9319696050871937,0.9214534833780879,0.9115313851809665,0.9639919149720971,0.9361784785316595,0.9548231245757,0.96643017795855,0.919227803839708,0.922948948240171,0.9512676513286367,0.9533888690623431,0.9463530674098114,0.9211302120060507,0.966802161327728
F13,0.9729282394792763,0.9670253940283517,0.9837979301320584,0.9699773539752884,1.0,0.9766213433479267,0.9744441034888024,0.9636765002264611,0.9715841348216522,0.9807785070331484,0.9583757617347274,0.9744649191118259,0.9782989479539099,0.9771572554140854,0.9725425120599361,0.9671784362198936,0.9560108254988252,0.9325692486932509,0.965258172982639,0.9657024052227692,0.9577144166861488,0.9592166832148891,0.9561688243367555,0.9543227315071809,0.9384150176502408,0.9642613968556535,0.966238821118531,0.9542754586159486,0.9718215501600735,0.9712458279136013,0.9412064942034034,0.9338405201875203,0.9619433146541997,0.9549569656338313,0.9698236026130342,0.9686594810890011,0.9716101262020144,0.9553049232062264,0.9300027096816765,0.9644250811199957,0.9666382386101798,0.9616574911067857,0.9737233631930797,0.9591256753181676,0.9528952460247274,0.9458566557779445,0.9372353402069078,0.9267688239922386,0.9306994002218352,0.9623861365795393,0.9393541005968216,0.9349257864920104,0.9179299992221447,0.9250811445324083,0.9005218698762082,0.919298129540614,0.9749655781320256,0.965748017453973,0.9494328744562874,0.9480981499102489,0.9343959211326098,0.9351522760698608,0.9310731032786229,0.9660681299167433,0.935020153163654,0.9379586158669446,0.9017873557801627,0.9210369418606564,0.9120448732035311,0.9293695225762822,0.932653137953916,0.9302653266977384,0.9105286535787721,0.9629186102470698,0.9324864229788187,0.9548499380255996,0.9671890339652128,0.932754073497326,0.9045557741226112,0.9663838131788022,0.947828372226597,0.9473880201861069,0.9260006995296602,0.964402927577176,0.9317252132621865,0.922211794881448,0.8797860563390356,0.9729002022284815,0.9360488455795393,0.9491194976387219,0.973447777696958,0.9501345249540302,0.9093701829733815,0.9663364554047623,0.9561912984469416,0.9453569418536618,0.9136490683738228,0.9732991404413823,0.9769271728918443,0.9645646319423548,0.9518353119849664,0.9456713855185161,0.9324933233798215,0.9222354784211981,0.9171882941439384,0.969616038056034,0.934330434314238,0.934128792331508,0.910489864978292,0.9208520994860064,0.8980524307203998,0.9242364780174014,0.9652968624819077,0.956995605990471,0.9523628239909522,0.9466140185525654,0.9299153268840715,0.9267293033703872,0.9280873258316327,0.9632249272092727,0.9324022759300796,0.9294665224126021,0.9139353104748601,0.9258087810710853,0.880107514371201,0.9347974038879513,0.9350371279720495,0.9250199239780419,0.8903357917492343,0.9579899056013651,0.9247599882456031,0.9423931010883769,0.9684600920653165,0.9396661079096087,0.9215522432861188,0.9701614186519951,0.9499107261195952,0.9541922414956083,0.925250997223099,0.9644881710889485,0.9340154730494538,0.9234829201444136,0.9016843288869305,0.9696441734248086,0.9223724448726807,0.9538361186622935,0.9701023983575364,0.9241260319135809,0.9035074452615784,0.9673951976645384,0.9524047739827778,0.9505199325412752,0.912109368931084,0.9631088019397412
G13,0.9751821251136974,0.9715043336279969,0.9796747155360865,0.9705805887840926,0.9766213433479267,1.0,0.9786409164923657,0.9802631650558661,0.9769252190089984,0.982065010577775,0.9750165131704206,0.9724225451521341,0.9819267382975571,0.9778841051136339,0.9814715859141645,0.9810669872670812,0.9489043967051665,0.9215356573865757,0.981651464955492,0.9773024195335828,0.9759975885031088,0.9760732082197778,0.9720776367395391,0.9490123055171609,0.9311432611883755,0.9761260880458686,0.9753654685724507,0.975901110265907,0.9789892260408738,0.9824145238499413,0.9389326670998612,0.9229974907940361,0.9761507854817175,0.9738687809213764,0.9759309339737984,0.9814934915944632,0.9815937049396273,0.9495992811004305,0.9217123165092146,0.9770501967878168,0.9770806354016115,0.9665624052935106,0.9769861657527148,0.9708461122081712,0.9643562128003003,0.9569547222578884,0.9468914172615625,0.9450653526775107,0.9423005940603016,0.9652935659900285,0.9483980024566405,0.9440338014170251,0.9280936204440209,0.9382347350529058,0.9088371156544219,0.9102832913891895,0.9781762144397452,0.973990383733066,0.960455031707965,0.9601235480023571,0.9490572926728571,0.9462058388844387,0.9407281960976356,0.9676634921510114,0.9456724167057032,0.9442113840790525,0.9125586855304,0.9272981219808819,0.9153847707830167,0.9188553142921021,0.9347807298239018,0.9367806167812806,0.9129213167962884,0.9732728794768728,0.9504706016387634,0.9655620227224083,0.9799869755990813,0.9306343387249191,0.9107625314895206,0.9666596718638729,0.9615253606145547,0.9600915399189555,0.9281128997078347,0.9801956919221845,0.9392098453089649,0.9271533203691436,0.8899209572058965,0.9718627868216664,0.9509818457240246,0.9614596632268612,0.9777587777550123,0.9474166922301912,0.9199969740374812,0.9517574516062585,0.9590907471860632,0.9618377839341254,0.9105685390644549,0.981529342994664,0.9777924535543953,0.9747570711119076,0.9603788208495538,0.9572024973156525,0.9418119989290344,0.928156939512214,0.9279363164808732,0.9634568659739944,0.9413973205486351,0.9396419677927993,0.9257232486319148,0.9309133431348801,0.9041663776843987,0.9064512440067597,0.9762773057539684,0.9709144192018687,0.9570155736553281,0.9571141527581195,0.9386429027674758,0.9419468614443623,0.9314293378896179,0.9678642200502399,0.9472767681579983,0.9350396023841324,0.9254664177640135,0.9328046080773243,0.8804187829794294,0.9236606509747269,0.9357916935867766,0.9378216597919151,0.8996456012094017,0.9724601441841265,0.9389812341023824,0.9601273275196411,0.9784342453725482,0.9388617501950723,0.9293923448337914,0.9613592110285891,0.9596865858609157,0.96348595676847,0.9318308979601114,0.9758526748366007,0.9355434767862553,0.935841064189232,0.9069483346401214,0.9790145145137501,0.9332437664193708,0.9636167651896126,0.9768318850768618,0.9187645212147949,0.9084620602399898,0.9572947989531394,0.9542937547250465,0.9585256701907268,0.9080134573521824,0.9729254744360589
H13,0.9748745440771409,0.9672694808949055,0.9793242825536888,0.9749717572713795,0.9744441034888024,0.9786409164923657,1.0,0.9784317471922009,0.9722781397511004,0.9701882622646903,0.9566028024668854,0.9561541793492125,0.9810071985541349,0.9795096041101026,0.9820496664968887,0.9675202792466593,0.9423588685977641,0.9203816743236187,0.9747673523368056,0.9741213152744072,0.9691195779961678,0.9579346367945023,0.9610568112008653,0.9451453920727882,0.9255895105021559,0.9712308101566561,0.976456490320496,0.9661202433268152,0.9744488182764819,0.9763033527895475,0.9300137315097239,0.9173668520240507,0.9756844316993593,0.9623306987688872,0.9758760660509301,0.9766287160219251,0.9746056441158656,0.9465420971282571,0.916013525794128,0.9736066513063351,0.9787489926350244,0.9680705370266182,0.9742272374317396,0.9636162194102715,0.9541147470828256,0.9512390559169202,0.9364387712458971,0.9386529572077479,0.9339150485212638,0.9485979379198972,0.9438927225360614,0.9365843164538862,0.9261456049328574,0.9313990426181974,0.9192217022045724,0.886890367197188,0.9720259588442288,0.9656403995654687,0.9561847621093447,0.9539089691866016,0.9400557401013369,0.9431324105370263,0.9358660738122687,0.9565960923209557,0.9444812110875953,0.9384881099115269,0.913271424717494,0.9221150869821002,0.9250378346695468,0.9006637454789603,0.9389142840179191,0.9284864998722939,0.9183234280714142,0.973094612335952,0.9574877723586414,0.9634537917454377,0.9710080194448537,0.9380462706526914,0.9244215222967288,0.958163569964356,0.9548296602354487,0.954350213888726,0.9311954162300503,0.9741224831325805,0.936663845967306,0.927788536886563,0.8979469370245196,0.9717745147751308,0.9535339618260232,0.9553467679049564,0.9737384802350384,0.9522933574912696,0.9325007229995983,0.949982205574153,0.9553383552397454,0.9539685458964472,0.9249785874447517,0.977243404447302,0.9760810960798596,0.9695802346821717,0.9580149460713531,0.9547017991397085,0.9308731919940592,0.9354352697346701,0.9316218964847279,0.9549322389532621,0.9397153710074446,0.9337353832898938,0.92049651094215,0.9226537125267398,0.9142993771240165,0.8911845572716515,0.9686422042355392,0.9652625417526647,0.9524130130244902,0.9523382676603488,0.9358324071722469,0.9364715041903431,0.934169953831865,0.9576311148738761,0.9441362133793579,0.9325133275725148,0.924992745832861,0.9266810481767764,0.8953106298001801,0.9107827947894507,0.9327835478865865,0.9315662844893206,0.9100779044063095,0.9731125314937648,0.9514057935384006,0.964087016763248,0.97718016703461,0.9374791293078805,0.9402117081194713,0.955151972625761,0.9539403777026396,0.9574975908045603,0.9324768430069961,0.9704050200603331,0.9370289915508587,0.9297932375480437,0.912368830445752,0.9700434331925522,0.9432124287824079,0.964056832427881,0.9753531017204013,0.9300122909940768,0.9292506383599948,0.9583170777589262,0.9549780023754805,0.9449378096977087,0.9213683813991895,0.9711891745098858
I13,0.9745898837348892,0.9640464315749058,0.969614028459592,0.9657296743753625,0.9636765002264611,0.9802631650558661,0.9784317471922009,1.0,0.976503984953078,0.97253084781903,0.9730004343434292,0.958031052656471,0.979029205999157,0.9728141446045777,0.9809818259367264,0.9739902385840854,0.9368656053479919,0.911684650847679,0.9825471833840748,0.9810494854751338,0.9793769873279929,0.9743416844282842,0.9730192451628716,0.9410958340026712,0.9213112163311935,0.9781828364568831,0.9774653462999195,0.9791315810063239,0.97577889235131,0.9764849323684777,0.9318515914642238,0.9093982239349181,0.9816810907606883,0.973403945148587,0.9825939820257297,0.9816271399362865,0.9826288878828301,0.9461502259637401,0.9098231655426892,0.9831468138001094,0.9796916408558511,0.9702411762330331,0.9730129299706336,0.9703193010959169,0.9629940054792133,0.9572771156033446,0.9448744963290827,0.9470315819521813,0.9404893813592398,0.9543000162568177,0.9531727626578415,0.9453793133794377,0.9419278681881266,0.9452819785108127,0.9202004210528155,0.8978313551953534,0.9708449448780163,0.9724887951809787,0.9594312288925999,0.9592283297970867,0.9488699963192242,0.9438361372274325,0.9399174123776948,0.9578326234048653,0.9517951815426439,0.9475722445269373,0.9253803774019904,0.9316115671806598,0.9248940559615534,0.905819731885915,0.9400279908197742,0.9409019649362129,0.9256176973994041,0.9771803463449462,0.953376264192554,0.9710982030996681,0.9798302030362369,0.9284308826705912,0.9236738667816877,0.9545044380924638,0.9621425198883643,0.9595910907698815,0.9246847539067936,0.9805592403131725,0.9424175242493055,0.9366071298102052,0.9099613816957544,0.969291260136346,0.9562027104393892,0.9638276965074054,0.9793509146899589,0.9452681415249843,0.9313666339506615,0.9367941309030648,0.954576387897148,0.9633199571519311,0.907601697061036,0.9778052412609148,0.9730285617779856,0.9730674870727635,0.9612797597753356,0.9610146508431956,0.9423529721047018,0.9294073093647542,0.9310075294147941,0.9510701496747267,0.9457759976756783,0.9411715518494125,0.9354540073171788,0.9411140546687675,0.9133320454500773,0.8880856474203388,0.9740739395084231,0.9711933977435898,0.9511969649000392,0.9561887812649829,0.9397226841315833,0.9427683298242397,0.9286329308608681,0.957555461814446,0.9537841645651025,0.9405631044365559,0.932578461445819,0.939214144637142,0.8894137806403131,0.9106322722899536,0.9393555517919654,0.9441863007490083,0.9154053844928187,0.9738087282806118,0.9446605073712121,0.9652507703533348,0.9785907183303033,0.9386557127459613,0.9430092377045498,0.9514655463731233,0.9609184385088462,0.9600458047771404,0.9323125449167887,0.9763631355528304,0.9374676368079538,0.9417284688767369,0.9183429177865777,0.9742381762826013,0.9370422500427735,0.9633047956069585,0.9722646898393521,0.9124346366695235,0.9219532256714944,0.9438258912762735,0.9502233427966322,0.9533250209929275,0.9086479132849917,0.9703022335164635
J13,0.972240167419883,0.9770041277508804,0.9725870525627391,0.9555140188808494,0.9715841348216522,0.9769252190089984,0.9722781397511004,0.976503984953078,1.0,0.9794533015107894,0.9733587647011908,0.9647744992352427,0.9755817083153938,0.9717961004942116,0.980358689424662,0.9815143580461402,0.9343298796893521,0.9021723034001861,0.9802023539448003,0.9759379434750628,0.9775275339835746,0.9770306911639605,0.9757710268333433,0.9362481080639391,0.9126822460584241,0.970706145525338,0.9728561726320596,0.9768878875909476,0.9783083393090625,0.9736702262881214,0.9292677182587789,0.9010172928553346,0.9758766374664478,0.9780576677692244,0.9715605026200852,0.97954585210858,0.9842979173888301,0.9404963938260164,0.9021333143769491,0.9760881662442066,0.9712572807340818,0.9609104491920198,0.9720222732740781,0.9688916785341686,0.9622198080057325,0.9552772489675264,0.9429422451534708,0.9448171666298671,0.9378586895285856,0.9591860505632371,0.9533603929206684,0.9457779300172241,0.9348580968900045,0.9369511116448864,0.9125522356755275,0.8925256500102009,0.9758630043124027,0.9725440561992144,0.9552204692633176,0.95487183944068,0.9492674060460596,0.9413305622392477,0.9407873655667134,0.9573733601579382,0.9449713898644743,0.9411420520481049,0.9178216737299367,0.9190507682155018,0.9164560464510123,0.8963303988845093,0.9313825299035882,0.9336014283758524,0.9150962833896061,0.9717109756854216,0.946215160540894,0.9694098936838628,0.983225712787047,0.9218920104190037,0.9110388685934198,0.9542725874549457,0.958833082231907,0.9571893205689733,0.9208587403332703,0.9767430651895639,0.9352239005315254,0.9315739759762455,0.9023699592680969,0.9684464860456222,0.9528107375266062,0.965001979756039,0.9818813079945536,0.9302135637439873,0.9216261084348933,0.9335106561025494,0.9491011193077501,0.9577996757786842,0.9047073651304267,0.9731093287481977,0.9699673483893917,0.9748971690082482,0.9609761747429609,0.9591214221459986,0.9432510032414031,0.9284529504822474,0.9267125334885501,0.9563059573898419,0.9346849909931849,0.938286369489786,0.9279349278423281,0.9348998816661853,0.9047165460842098,0.8848034423238538,0.9724470164899252,0.9702069381494162,0.947358561887852,0.9536834114892146,0.9287615712965411,0.9451760487692347,0.9262243747615122,0.9600205542174954,0.9492757801245008,0.9341589731871842,0.9247663535665811,0.9274889119283165,0.8768667850332288,0.9028154862628418,0.9326493277383693,0.9373985331218004,0.9088080621720007,0.9654045130610598,0.9394601240154867,0.9612743912955906,0.9745062821901768,0.9429079187567472,0.9320502498106038,0.9530226720372884,0.9610004552490913,0.9594020709544994,0.9260839274814971,0.9740669684740821,0.9346849120936735,0.9385354833029379,0.9170926595118775,0.9762418117531317,0.9377852613083486,0.9639318655645767,0.9740093949799489,0.9095359887290004,0.9142369765366661,0.9410963664918797,0.9450335494544713,0.9503259303556992,0.9014051852583095,0.9639844051923072
