oneb_Metadata_Treatment_Dose_Inhibitor_Dose,DMSO_0.100_DMSO_0.025,DMSO_0.100_DMSO_1.0,DMSO_0.100_Z-VAD-FMK_100.0,DMSO_0.100_Z-VAD-FMK_30.0,Disulfiram_0.100_DMSO_0.025,Disulfiram_1.000_DMSO_0.025,Disulfiram_2.500_DMSO_0.025,Flagellin_0.100_DMSO_0.025,Flagellin_1.000_DMSO_0.025,Flagellin_1.000_Disulfiram_1.0,H2O2_100.000_DMSO_0.025,H2O2_100.000_Disulfiram_1.0,H2O2_100.000_Z-VAD-FMK_100.0,LPS_0.010_DMSO_0.025,LPS_0.100_DMSO_0.025,LPS_1.000_DMSO_0.025,LPS_10.000_DMSO_0.025,LPS_10.000_Disulfiram_0.1,LPS_10.000_Disulfiram_1.0,LPS_10.000_Disulfiram_2.5,LPS_10.000_Z-VAD-FMK_100.0,LPS_100.000_DMSO_0.025,LPS_Nigericin_1.000_1.0_DMSO_0.025,LPS_Nigericin_1.000_10.0_DMSO_0.025,LPS_Nigericin_1.000_10.0_Disulfiram_1.0,LPS_Nigericin_1.000_10.0_Z-VAD-FMK_100.0,LPS_Nigericin_1.000_3.0_DMSO_0.025,LPS_Nigericin_100.000_1.0_DMSO_0.025,LPS_Nigericin_100.000_10.0_DMSO_0.025,LPS_Nigericin_100.000_3.0_DMSO_0.025,Thapsigargin_1.000_DMSO_0.025,Thapsigargin_10.000_DMSO_0.025,Topotecan_10.000_DMSO_0.025,Topotecan_20.000_DMSO_0.025,Topotecan_5.000_DMSO_0.025,media ctr_0_Media ctr_0.0
DMSO_0.100_DMSO_0.025,1.0,0.63990111707788,0.49988858330018415,0.6353279026553513,0.2672041808441763,-0.0624153083908222,0.17027233966759256,0.017106952612032555,0.45078829525025904,-0.46425355956350695,0.1509093419373113,-0.47893279963717617,0.03348311094699036,0.6060173416143001,0.6869051409112282,0.1813578655939758,0.12082370938369498,-0.10465355518435178,-0.05111049948072666,-0.3661679378793994,0.24389193963583214,-0.17925761284801509,-0.3763893115990813,-0.4144086190312124,-0.3635348757769655,-0.09480129893539943,-0.4094147872725099,-0.5747798569908551,-0.4818611674520809,-0.39679476367932215,-0.01979943150658525,-0.22476773772354136,0.515978023770094,0.5669329877265848,0.5889102396384954,0.7297652215613347
DMSO_0.100_DMSO_1.0,0.63990111707788,1.0,0.6311183359624575,0.6145674321114659,0.21151916111566002,0.015203456177575483,0.14594695467173288,0.09181566086469342,0.29608222786369887,-0.17271832321728806,0.34174786210366603,-0.36276128134023844,0.2664416039917711,0.43666422338856703,0.5063673373330684,0.09419711819675883,0.1449326330391107,-0.2776203677696752,-0.050665788712638965,-0.23400392999135444,0.31844721836058504,-0.28229667414136295,-0.3589063840621203,-0.6252822531241649,-0.37982992803587085,-0.16942340730947336,-0.5925317659271181,-0.4941953548358334,-0.5039493039602174,-0.48802498969590163,0.09272247418548683,-0.07322450650683363,0.33384145689676303,0.41056657399790764,0.3223817753450436,0.5949762884731031
DMSO_0.100_Z-VAD-FMK_100.0,0.49988858330018415,0.6311183359624575,1.0,0.7138637615387167,-0.05474759348027588,-0.4400442860448818,-0.24668272315952197,0.13356738198175924,0.2576064890308992,-0.3369189217097163,0.36335807651592095,-0.5697202954156386,0.6728501196773429,0.5470828403576923,0.3273811308820684,-0.03027665546852874,-0.1774802324839744,-0.3501213643641945,-0.40852924905364557,-0.487066608940604,0.7766778599347793,-0.46584850500275654,-0.36347563859570886,-0.5128799056200878,-0.4302125396689422,0.4474483939036503,-0.6185197871869541,-0.5616848727581066,-0.725674796023089,-0.5319040505006533,0.46561617281285456,0.33073762132437345,0.0616972329544256,0.12591303822638006,0.077602802872204,0.43982371607385645
DMSO_0.100_Z-VAD-FMK_30.0,0.6353279026553513,0.6145674321114659,0.7138637615387167,1.0,0.15578653716928964,-0.18247446434034967,-0.12263483803872086,0.25598657481026804,0.38444150681647193,-0.2732550997173198,0.19889658431391177,-0.5311063242170514,0.3434473537980914,0.5992819993125341,0.5237939830376105,0.2078847356196112,0.019981295715958827,-0.2655118041964074,-0.2185451260308514,-0.32561945507989765,0.5144368797533017,-0.31822464006695744,-0.4531053064257636,-0.5579530664332677,-0.41284502543619195,0.14696386124245986,-0.609758075848859,-0.5510442803452433,-0.6490595953190218,-0.5899612028343565,0.2138156406446499,0.08092031433106477,0.41523665356204004,0.36453506877917874,0.375607210221342,0.6044742682990869
Disulfiram_0.100_DMSO_0.025,0.2672041808441763,0.21151916111566002,-0.05474759348027588,0.15578653716928964,1.0,0.4985797900749654,0.6255536022413696,-0.03718546021513824,0.03550683616448518,0.1081329475091947,-0.07563555573586397,-0.1744709177416645,-0.03295457943637351,0.14314956805680232,0.3624100329338104,0.41582230521283947,0.3411458155267747,0.36051342949606474,0.3408975731735408,0.2800083936608129,-0.0810707071185358,-0.07811167887190054,-0.11247934236608681,-0.3671898876860601,-0.509373570642975,-0.4103409080208597,-0.32112904630005634,-0.06124502280648629,-0.23113636619486264,-0.1292323691720413,-0.26458181020190175,-0.30543545905085856,0.33611216241895453,0.4310783333146888,0.34793993248264105,0.22223916225169146
Disulfiram_1.000_DMSO_0.025,-0.0624153083908222,0.015203456177575483,-0.4400442860448818,-0.18247446434034967,0.4985797900749654,1.0,0.7918989312295621,-0.13023026906712648,-0.1083215387750549,0.6322483017087697,-0.3253177561226708,0.2503487026478776,-0.3732263736771744,-0.20345093870946176,0.1637273222268247,0.3927975829076022,0.48360198633514667,0.29626444544773956,0.8398687002742758,0.7126147485469786,-0.5363848888170125,0.1034655347190912,-0.021456631519729822,-0.2608030034015534,0.0030807563820213816,-0.80200941796366,-0.1345979147489024,0.17423147549835866,0.1514681605561798,0.037262873550560856,-0.6167071883106782,-0.5328730813628355,0.26636767062135225,0.3354856112761527,0.1845913010883992,-0.034271567029887026
Disulfiram_2.500_DMSO_0.025,0.17027233966759256,0.14594695467173288,-0.24668272315952197,-0.12263483803872086,0.6255536022413696,0.7918989312295621,1.0,-0.17321206522227725,-0.031786523504683875,0.3423618351953334,-0.3679809196843503,-0.001380200669068015,-0.2993582915714534,-0.12001441773459981,0.2388375669683586,0.34598296127103767,0.4994338870794515,0.37528865730515737,0.6382420000044873,0.48770624750018987,-0.374942159019862,0.1387766040335348,0.034957507540462666,-0.25375099099185405,-0.2181691928631991,-0.6698386460889505,-0.18839178167456858,0.13673193517379054,0.0019219453841664246,0.05317425691857992,-0.5402806732851912,-0.48697024534741,0.27379091374345244,0.4357414020767214,0.3105156815747828,0.10216584073100701
Flagellin_0.100_DMSO_0.025,0.017106952612032555,0.09181566086469342,0.13356738198175924,0.25598657481026804,-0.03718546021513824,-0.13023026906712648,-0.17321206522227725,1.0,0.4237596807797117,0.07888941484172664,0.05030133180558272,-0.18947823494023713,0.0239499260768116,0.28285513331945744,0.13006110489825332,0.29925261506298256,0.1916863548933201,-0.04582195898512771,-0.203060330045503,-0.05375002650217635,0.10168235481892049,0.009294436493460708,-0.1771737136546019,-0.22265558176923186,-0.06648832706952847,0.05174632709919831,-0.26141514559208096,-0.02862640122478661,-0.2274308493549819,-0.3026065799922962,0.12556105891365255,0.06992401661482862,0.15334840489571155,-0.004382986732394432,0.19594226292991407,0.12245378703576289
Flagellin_1.000_DMSO_0.025,0.45078829525025904,0.29608222786369887,0.2576064890308992,0.38444150681647193,0.03550683616448518,-0.1083215387750549,-0.031786523504683875,0.4237596807797117,1.0,-0.13705234652841516,0.04618700231993759,-0.3362713506509328,-0.04823300043631151,0.4485780652322544,0.4850737784323493,0.30070822314090173,0.34798162061097493,0.03347124667315127,-0.09036839327890435,-0.2074804766269664,0.058675461481483886,0.07429398308654148,-0.4069799342762704,-0.3261566927948218,-0.17867349309010785,-0.07485071618239363,-0.2854671546997011,-0.31580660182764625,-0.3672900668661832,-0.43546986502279006,0.053979469177238226,-0.06151058647659115,0.39719396505343857,0.3768509941839463,0.5128581001273196,0.5318121366896709
Flagellin_1.000_Disulfiram_1.0,-0.46425355956350695,-0.17271832321728806,-0.3369189217097163,-0.2732550997173198,0.1081329475091947,0.6322483017087697,0.3423618351953334,0.07888941484172664,-0.13705234652841516,1.0,-0.23310893512879083,0.258227981600396,-0.13902726834313633,-0.22208832206073403,-0.2723213042194712,0.21351003174473013,0.22168129746635215,0.1150425850575578,0.6222999974296166,0.7649964201813166,-0.41331579351989334,0.007035635526218868,-0.05370793592910837,-0.19989403954793125,0.23136154410160295,-0.41377392840614585,-0.15293197983888465,0.3482003234821056,0.094151099771004,-0.05821663036713151,-0.2291485355194459,-0.12065624954705928,-0.13356654275623994,-0.1145259625276363,-0.21547563932986272,-0.33846937241851904
