oneb_Metadata_Treatment_Dose_Inhibitor_Dose,DMSO_0.100_DMSO_0.025,DMSO_0.100_DMSO_1.0,DMSO_0.100_Z-VAD-FMK_100.0,DMSO_0.100_Z-VAD-FMK_30.0,Disulfiram_0.100_DMSO_0.025,Disulfiram_1.000_DMSO_0.025,Disulfiram_2.500_DMSO_0.025,Disulfiram_2.5_DMSO_0.025,Flagellin_0.100_DMSO_0.00025,Flagellin_0.100_DMSO_0.025,Flagellin_1.000_DMSO_0.00025,Flagellin_1.000_DMSO_0.025,Flagellin_1.000_Disulfiram_1.0,H2O2_100.000_DMSO_0.025,H2O2_100.000_Disulfiram_1.0,H2O2_100.000_Z-VAD-FMK_100.0,LPS_0.010_DMSO_0.025,LPS_0.100_DMSO_0.025,LPS_1.000_DMSO_0.025,LPS_10.000_DMSO_0.025,LPS_10.000_Disulfiram_0.1,LPS_10.000_Disulfiram_1.0,LPS_10.000_Disulfiram_2.5,LPS_10.000_Z-VAD-FMK_100.0,LPS_100.000_DMSO_0.025,LPS_Nigericin_1.000_1.0_DMSO_0.025,LPS_Nigericin_1.000_10.0_DMSO_0.025,LPS_Nigericin_1.000_10.0_Disulfiram_1.0,LPS_Nigericin_1.000_10.0_Z-VAD-FMK_100.0,LPS_Nigericin_1.000_3.0_DMSO_0.025,LPS_Nigericin_100.000_1.0_DMSO_0.025,LPS_Nigericin_100.000_10.0_DMSO_0.025,LPS_Nigericin_100.000_3.0_DMSO_0.025,Thapsigargin_1.000_DMSO_0.025,Thapsigargin_10.000_DMSO_0.025,Topotecan_10.000_DMSO_0.025,Topotecan_20.000_DMSO_0.025,Topotecan_5.000_DMSO_0.025,media ctr_0_Media ctr_0.0,media ctr_0_Media_0.0
DMSO_0.100_DMSO_0.025,1.0,0.5264334995806877,-0.4407825103068781,-0.449894648845555,0.6889588728426522,0.7792809299678528,0.6142003768706842,-0.12630910524415087,0.30171376590545723,0.0405231866098465,-0.16775225285009232,-0.08228155548479806,-0.3944761475720559,0.8433195416834822,0.4643512224639447,-0.5485011586913344,-0.27352381412325166,-0.2862362791932384,-0.2452340365764865,-0.46239265429937637,-0.415126179480152,-0.6136480349043495,-0.4672670057020478,-0.5348812892202885,-0.4746541300753225,-0.292201904569412,-0.03430743803784466,-0.5216006490980849,-0.4091998456817256,-0.0489019414757308,-0.5833529960311554,0.12503062495098313,0.0019054074905418433,0.2060871453221348,-0.00781284309967798,0.2250893054251527,0.7595153057288517,0.5668725798806658,0.8271779633076459,0.6427804715017987
DMSO_0.100_DMSO_1.0,0.5264334995806877,1.0,0.2737653228796407,0.2125680891651721,0.564941593036496,0.35089992783243984,0.5304635238712502,-0.5335270224841347,-0.03553927851952528,-0.1076239536956751,-0.4944807518465189,0.007605237508211498,0.08502354618177088,0.4554546251261926,0.14578974733230415,0.04354448110430422,-0.4273967137562397,-0.328138530106745,-0.41967654904797,-0.39841871173095167,-0.642967903997529,-0.5038615179907289,-0.5382313992943581,-0.04067652822494349,-0.7121526886968766,-0.4946446143547933,-0.08139414437911915,-0.4401045054526407,0.2303102352159943,-0.14228063854217995,-0.6143425043605821,0.0331429960270913,-0.0005969019530606088,0.061421442776978336,0.35138964037808823,-0.31421028213648844,0.37781549375515605,0.0621644456469453,0.6194157841514563,0.6836317256127966
DMSO_0.100_Z-VAD-FMK_100.0,-0.4407825103068781,0.2737653228796407,1.0,0.8862720557965822,-0.14420418630455464,-0.3307110291408371,0.045363150537160175,-0.43236737736236036,-0.4602078146601132,-0.20461568395740876,-0.32897747272919053,-0.09129759912554447,0.5001337433138846,-0.35284282323697647,-0.4377785549576984,0.8986622705817247,-0.23497680491932216,-0.14682362489464856,-0.1826344038479479,0.06658714708835532,-0.23042777256936808,0.19170533467611486,0.15151687741361086,0.7725200719077064,-0.26754331736541587,-0.28572925415636574,-0.2313507799962859,0.19189637001852283,0.7413246488540827,-0.2546526940483195,0.0389985716994505,-0.2623938475650696,-0.17005187253593962,-0.20833428594371894,0.3510883482661095,-0.4602378005076777,-0.37540198070746744,-0.4849022990610367,-0.2812156785586131,-0.13429014551745647
DMSO_0.100_Z-VAD-FMK_30.0,-0.449894648845555,0.2125680891651721,0.8862720557965822,1.0,-0.11878565187339835,-0.37765250515397586,0.06865554305956399,-0.32312653389637347,-0.546222181137736,-0.31480381449712874,-0.40616644897628384,-0.19294039060358795,0.5366796765443632,-0.36059194059908395,-0.39474848628607845,0.7844509887007379,-0.2164533057905859,-0.16771408571732885,-0.23519603960237445,0.07451446769546302,-0.31544150149347383,0.2294356811673195,0.09088347763069651,0.6448041300636341,-0.2754758334542723,-0.2536470581759877,-0.16062885588779122,0.06093003557415968,0.8053708427033388,-0.2160980460222244,0.20552012451203172,-0.2206759058079419,-0.03177656425763381,-0.19911416890152514,0.4089072035198667,-0.5027204187689857,-0.3695101709064731,-0.4702609410951008,-0.29356224154395977,-0.2104897201911728
Disulfiram_0.100_DMSO_0.025,0.6889588728426522,0.564941593036496,-0.14420418630455464,-0.11878565187339835,1.0,0.6630707529909843,0.6418957583369448,-0.1225410531821027,0.30952852357001864,0.014449455972494913,-0.30440758867476253,-0.06547028786966211,-0.07089172144698053,0.7055120683220298,0.39446380283688953,-0.29017555774691844,-0.19781267957457366,-0.20007593404610774,-0.18326487611225545,-0.3133356381267269,-0.4357722903987478,-0.47473357973826485,-0.391070830228437,-0.3081415535315344,-0.555338109284942,-0.5234733488906963,-0.21997839853212314,-0.54945217898859,-0.16147533982752707,-0.27031391507726316,-0.6289326921713013,-0.10297413600286678,-0.15991693539770688,0.2010142792800088,0.1422831978187925,0.1253518577629984,0.6687104489421478,0.4633477537762794,0.7796843270971308,0.524271379984859
Disulfiram_1.000_DMSO_0.025,0.7792809299678528,0.35089992783243984,-0.3307110291408371,-0.37765250515397586,0.6630707529909843,1.0,0.6608841217868207,-0.019202220057152684,0.29008574061761283,0.10491504261916194,-0.12827481287496795,-0.195287370029059,-0.375646875665831,0.7929295106757966,0.4981124283623594,-0.3923012225184505,-0.2646018544848916,-0.3490849978519559,-0.19640843497166197,-0.40808112209704483,-0.19890618243778735,-0.512712645125196,-0.25969108324593054,-0.40936028652756634,-0.3987718601535501,-0.3129274520542264,-0.19051107885705792,-0.2826975761953139,-0.44960496917515375,-0.18581886569376835,-0.5293266433977646,-0.01647606994026616,-0.1861282304237597,0.22176344697258496,-0.08511814432183847,0.4047528942648866,0.7035014768563274,0.6262672865061379,0.7228245705164135,0.4936808440591955
Disulfiram_2.500_DMSO_0.025,0.6142003768706842,0.5304635238712502,0.045363150537160175,0.06865554305956399,0.6418957583369448,0.6608841217868207,1.0,-0.4047418424169133,0.02762417907680664,-0.0670883478814598,-0.48043228328167764,-0.18962134076238749,-0.23042901223838327,0.6505430305669117,0.2763562332626642,-0.10997559087623812,-0.5280087783449454,-0.4965998590532617,-0.3954293604486209,-0.5192320269894191,-0.4928774303776097,-0.6137952727105397,-0.4405769322872177,-0.26802422051206615,-0.66335813666471,-0.3071463329809962,-0.024032310312778374,-0.25829615484149315,-0.12224643068599801,-0.033506024319548654,-0.4387455597740657,0.1715460522042517,0.0687222370618903,-0.05869695765223521,0.23953626516950402,-0.05634623666150397,0.4807814411366078,0.3290136056603649,0.6964125710741655,0.5252785335438975
Disulfiram_2.5_DMSO_0.025,-0.12630910524415087,-0.5335270224841347,-0.43236737736236036,-0.32312653389637347,-0.1225410531821027,-0.019202220057152684,-0.4047418424169133,1.0,0.13656915744788242,-0.037446948546855124,0.5108217778823109,-0.11630208695812433,-0.1438235972146587,-0.06697042844997379,0.23117803518480481,-0.18736146370512383,0.3311670183418261,0.21461544555741402,0.1796353007976511,0.25032805230784877,0.5890780595570897,0.3239809959417312,0.22680358613665638,-0.056093340813020316,0.50726940981736,0.1353848915783322,-0.15835194595367483,0.01634676173780487,-0.31105461617345376,-0.1647990517892924,0.15232748514878974,-0.36363860926362096,-0.33600189036880823,0.43510347288241413,-0.28323044550398857,0.6610595067710855,0.12582718101605353,0.4399860561553949,-0.24385970528186843,-0.5203600313894917
Flagellin_0.100_DMSO_0.00025,0.30171376590545723,-0.03553927851952528,-0.4602078146601132,-0.546222181137736,0.30952852357001864,0.29008574061761283,0.02762417907680664,0.13656915744788242,1.0,0.6109249408081746,0.4885828514151621,0.5238511892584446,0.0385122909821795,0.24802628320061124,0.34918915711628146,-0.40596099092900595,0.4473133070401844,0.5106864103912934,0.48937268122264777,0.27932996418102485,0.09595448999927478,-0.07322128433493998,0.06647156741862402,-0.3337861127689474,0.25859985552737114,-0.1742842358403033,-0.28021581161043724,-0.28295610396881876,-0.5642532152625983,-0.26745427364724644,-0.4213294025792031,-0.21167329030036808,-0.3370513706070456,0.12088314011699991,-0.28304374445647335,0.324568200546572,0.30991328213463987,0.27070197193486295,0.2813636099702619,0.23780606601999224
Flagellin_0.100_DMSO_0.025,0.0405231866098465,-0.1076239536956751,-0.20461568395740876,-0.31480381449712874,0.014449455972494913,0.10491504261916194,-0.0670883478814598,-0.037446948546855124,0.6109249408081746,1.0,0.49179072402974666,0.6948708426370304,0.16667279078560357,0.02282675325244693,0.30461168778689424,-0.1874680712794143,0.5016121784208509,0.5904565752209677,0.6189767089671792,0.4098917442107222,0.16322967946289482,0.006152568552527484,0.09396151737949393,-0.2539176655172918,0.37931454561193184,-0.02759674975634588,-0.3296493664416135,-0.020274398203204532,-0.4668686072507036,-0.28858375389800717,-0.09411806897073431,-0.2046407703749135,-0.2945588392353347,-0.06934223199948061,-0.3941013824667453,0.2598252365102872,0.008914781846179373,0.07780425252122758,0.03085931640702266,0.11922527243832673
