group1,group2,meandiff,lower,upper,reject,p-adj,cytokine,group,-log10(p-adj),significant,apoptotic,pyroptotic,apoptotic_vs_pyroptotic,consensus
apoptosis,healthy,-0.0361,-0.266,0.1938,False,0.803,CNTF [NSU],apoptosis_healthy,0.095284454721319,False,False,False,False,none
apoptosis,pyroptosis,-0.0171,-0.2473,0.2131,False,0.952,CNTF [NSU],apoptosis_pyroptosis,0.0213630516155256,False,False,False,False,none
healthy,pyroptosis,0.019,-0.0833,0.1213,False,0.7357,CNTF [NSU],healthy_pyroptosis,0.1332992439575009,False,False,False,False,none
apoptosis,healthy,-0.0271,-0.3384,0.2842,False,0.9347,CRP [NSU],apoptosis_healthy,0.0293277573102806,False,False,False,False,none
apoptosis,pyroptosis,-0.0452,-0.357,0.2665,False,0.8293,CRP [NSU],apoptosis_pyroptosis,0.0812883346176787,False,False,False,False,none
healthy,pyroptosis,-0.0181,-0.1566,0.1204,False,0.8587,CRP [NSU],healthy_pyroptosis,0.0661585371012787,False,False,False,False,none
apoptosis,healthy,0.1777,-0.0797,0.4351,False,0.017,CX3CL1 [NSU],apoptosis_healthy,1.769551078621726,True,True,False,False,apoptotic
apoptosis,pyroptosis,0.1499,-0.1079,0.4077,False,0.0536,CX3CL1 [NSU],apoptosis_pyroptosis,1.27083521030723,False,False,False,False,none
healthy,pyroptosis,-0.0278,-0.1423,0.0867,False,0.5924,CX3CL1 [NSU],healthy_pyroptosis,0.227384950150829,False,False,False,False,none
apoptosis,healthy,-0.0435,-0.3472,0.2602,False,0.833,CXCL1 [NSU],apoptosis_healthy,0.0793549985932124,False,False,False,False,none
apoptosis,pyroptosis,0.4296,0.1256,0.7337,True,0.0,CXCL1 [NSU],apoptosis_pyroptosis,4.0,True,False,False,True,apoptotic_vs_pyroptotic
healthy,pyroptosis,0.4731,0.3381,0.6082,True,0.0,CXCL1 [NSU],healthy_pyroptosis,4.0,True,False,True,False,pyroptotic
apoptosis,healthy,-0.1374,-0.4679,0.1931,False,0.2193,CXCL10 [NSU],apoptosis_healthy,0.6589613683224771,False,False,False,False,none
apoptosis,pyroptosis,-0.0308,-0.3617,0.3001,False,0.9258,CXCL10 [NSU],apoptosis_pyroptosis,0.0334828235532081,False,False,False,False,none
healthy,pyroptosis,0.1066,-0.0404,0.2536,False,0.0113,CXCL10 [NSU],healthy_pyroptosis,1.9469215565165805,True,False,True,False,pyroptotic
apoptosis,healthy,-0.0241,-0.3589,0.3107,False,0.9547,CXCL11 [NSU],apoptosis_healthy,0.0201330774350971,False,False,False,False,none
apoptosis,pyroptosis,0.2583,-0.077,0.5935,False,0.0065,CXCL11 [NSU],apoptosis_pyroptosis,2.1870866433571443,True,False,False,True,apoptotic_vs_pyroptotic
healthy,pyroptosis,0.2824,0.1335,0.4313,True,0.0,CXCL11 [NSU],healthy_pyroptosis,4.0,True,False,True,False,pyroptotic
apoptosis,healthy,0.0693,-0.2407,0.3794,False,0.6416,CXCL12 (alpha) [NSU],apoptosis_healthy,0.1927356447238929,False,False,False,False,none
apoptosis,pyroptosis,0.0527,-0.2577,0.3632,False,0.7739,CXCL12 (alpha) [NSU],apoptosis_pyroptosis,0.111315153340301,False,False,False,False,none
healthy,pyroptosis,-0.0166,-0.1545,0.1213,False,0.8787,CXCL12 (alpha) [NSU],healthy_pyroptosis,0.0561593735987388,False,False,False,False,none
apoptosis,healthy,0.0736,-0.2087,0.3558,False,0.5478,CXCL12 (beta) [NSU],apoptosis_healthy,0.2613779720820575,False,False,False,False,none
apoptosis,pyroptosis,0.0355,-0.2471,0.3182,False,0.8686,CXCL12 (beta) [NSU],apoptosis_pyroptosis,0.0611801749737896,False,False,False,False,none
healthy,pyroptosis,-0.038,-0.1635,0.0875,False,0.4446,CXCL12 (beta) [NSU],healthy_pyroptosis,0.3520305416370282,False,False,False,False,none
apoptosis,healthy,-0.0489,-0.3568,0.2589,False,0.7989,CXCL13 [NSU],apoptosis_healthy,0.0975075788413963,False,False,False,False,none
apoptosis,pyroptosis,0.0099,-0.2984,0.3182,False,0.9908,CXCL13 [NSU],apoptosis_pyroptosis,0.0040140020862006,False,False,False,False,none
healthy,pyroptosis,0.0588,-0.0781,0.1957,False,0.1983,CXCL13 [NSU],healthy_pyroptosis,0.7026772857946973,False,False,False,False,none
apoptosis,healthy,0.0842,-0.1855,0.3539,False,0.4228,CXCL14 [NSU],apoptosis_healthy,0.3738650213646113,False,False,False,False,none
apoptosis,pyroptosis,0.1838,-0.0863,0.4538,False,0.0189,CXCL14 [NSU],apoptosis_pyroptosis,1.723538195826756,True,False,False,True,apoptotic_vs_pyroptotic
healthy,pyroptosis,0.0996,-0.0203,0.2196,False,0.003,CXCL14 [NSU],healthy_pyroptosis,2.5228787452803374,True,False,True,False,pyroptotic
apoptosis,healthy,-0.2286,-0.5407,0.0835,False,0.0104,CXCL16 [NSU],apoptosis_healthy,1.98296666070122,True,True,False,False,apoptotic
apoptosis,pyroptosis,-0.49,-0.8025,-0.1775,True,0.0,CXCL16 [NSU],apoptosis_pyroptosis,4.0,True,False,False,True,apoptotic_vs_pyroptotic
healthy,pyroptosis,-0.2614,-0.4002,-0.1226,True,0.0,CXCL16 [NSU],healthy_pyroptosis,4.0,True,False,True,False,pyroptotic
apoptosis,healthy,0.0169,-0.2741,0.3078,False,0.9705,CXCL17 [NSU],apoptosis_healthy,0.0130044602756183,False,False,False,False,none
apoptosis,pyroptosis,0.0377,-0.2536,0.3291,False,0.8613,CXCL17 [NSU],apoptosis_pyroptosis,0.0648455527838315,False,False,False,False,none
healthy,pyroptosis,0.0209,-0.1085,0.1503,False,0.7935,CXCL17 [NSU],healthy_pyroptosis,0.100453068909133,False,False,False,False,none
apoptosis,healthy,-0.2001,-0.4621,0.0619,False,0.0071,CXCL3 [NSU],apoptosis_healthy,2.1487416512809245,True,True,False,False,apoptotic
apoptosis,pyroptosis,0.1475,-0.1148,0.4099,False,0.0645,CXCL3 [NSU],apoptosis_pyroptosis,1.1904402853647322,False,False,False,False,none
healthy,pyroptosis,0.3476,0.2311,0.4641,True,0.0,CXCL3 [NSU],healthy_pyroptosis,4.0,True,False,True,False,pyroptotic
apoptosis,healthy,-0.0201,-0.1601,0.1198,False,0.8321,CXCL4 [NSU],apoptosis_healthy,0.0798244779899772,False,False,False,False,none
apoptosis,pyroptosis,0.0544,-0.0858,0.1945,False,0.2661,CXCL4 [NSU],apoptosis_pyroptosis,0.5749551254486112,False,False,False,False,none
healthy,pyroptosis,0.0745,0.0122,0.1367,True,0.0,CXCL4 [NSU],healthy_pyroptosis,4.0,True,False,True,False,pyroptotic
apoptosis,healthy,-0.0641,-0.4336,0.3055,False,0.7655,CXCL5 [NSU],apoptosis_healthy,0.1160548049657202,False,False,False,False,none
apoptosis,pyroptosis,0.1507,-0.2193,0.5208,False,0.2329,CXCL5 [NSU],apoptosis_pyroptosis,0.6328305114653193,False,False,False,False,none
healthy,pyroptosis,0.2148,0.0504,0.3792,True,0.0,CXCL5 [NSU],healthy_pyroptosis,4.0,True,False,True,False,pyroptotic
apoptosis,healthy,-0.0253,-0.276,0.2253,False,0.9131,CXCL6 [NSU],apoptosis_healthy,0.039481657219292,False,False,False,False,none
apoptosis,pyroptosis,-0.0029,-0.2539,0.2481,False,0.9988,CXCL6 [NSU],apoptosis_pyroptosis,0.0005214663206898,False,False,False,False,none
healthy,pyroptosis,0.0224,-0.0891,0.1339,False,0.6985,CXCL6 [NSU],healthy_pyroptosis,0.1558335895497992,False,False,False,False,none
