,Treatments,oneb_Metadata_Treatment_Dose_Inhibitor_Dose,correlation
55,LPS_0.100_DMSO_0.025,DMSO_0.100_DMSO_1.000,0.9678181342563148
56,LPS_1.000_DMSO_0.025,DMSO_0.100_DMSO_1.000,0.9723850592221777
57,LPS_10.000_DMSO_0.025,DMSO_0.100_DMSO_1.000,0.9737850379738516
58,LPS_10.000_Disulfiram_0.100,DMSO_0.100_DMSO_1.000,0.9749844823636463
59,LPS_10.000_Disulfiram_1.000,DMSO_0.100_DMSO_1.000,0.975050719672137
60,LPS_10.000_Disulfiram_2.500,DMSO_0.100_DMSO_1.000,0.9750650136068497
61,LPS_10.000_Z-VAD-FMK_100.000,DMSO_0.100_DMSO_1.000,0.9793714739746527
62,LPS_100.000_DMSO_0.025,DMSO_0.100_DMSO_1.000,0.9743947152195389
63,LPS_Nigericin_1.000_1.000_DMSO_0.025,DMSO_0.100_DMSO_1.000,0.9752042564380802
64,LPS_Nigericin_1.000_10.000_DMSO_0.025,DMSO_0.100_DMSO_1.000,0.9739476776153673
65,LPS_Nigericin_1.000_10.000_Disulfiram_1.000,DMSO_0.100_DMSO_1.000,0.9770615005735104
66,LPS_Nigericin_1.000_10.000_Z-VAD-FMK_100.000,DMSO_0.100_DMSO_1.000,0.9808067109560767
67,LPS_Nigericin_1.000_3.000_DMSO_0.025,DMSO_0.100_DMSO_1.000,0.9748674838754569
68,LPS_Nigericin_100.000_1.000_DMSO_0.025,DMSO_0.100_DMSO_1.000,0.9755480487227682
69,LPS_Nigericin_100.000_10.000_DMSO_0.025,DMSO_0.100_DMSO_1.000,0.9753897017901402
70,LPS_Nigericin_100.000_3.000_DMSO_0.025,DMSO_0.100_DMSO_1.000,0.9759187054262023
71,Thapsigargin_1.000_DMSO_0.025,DMSO_0.100_DMSO_1.000,0.979627479566103
72,Thapsigargin_10.000_DMSO_0.025,DMSO_0.100_DMSO_1.000,0.9767401861202083
73,Topotecan_10.000_DMSO_0.025,DMSO_0.100_DMSO_1.000,0.9810506582393965
74,Topotecan_20.000_DMSO_0.025,DMSO_0.100_DMSO_1.000,0.9784146693108188
75,Topotecan_5.000_DMSO_0.025,DMSO_0.100_DMSO_1.000,0.9786479540147812
76,media ctr_nan_Media ctr_nan,DMSO_0.100_DMSO_1.000,0.9784859818901435
77,media ctr_nan_Media_nan,DMSO_0.100_DMSO_1.000,0.9783191381703494
78,DMSO_0.100_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_100.000,0.8346642194205361
79,DMSO_0.100_DMSO_1.000,DMSO_0.100_Z-VAD-FMK_100.000,0.9876567324666282
80,DMSO_0.100_Z-VAD-FMK_100.000,DMSO_0.100_Z-VAD-FMK_100.000,1.0
81,DMSO_0.100_Z-VAD-FMK_30.000,DMSO_0.100_Z-VAD-FMK_100.000,0.9910119073973495
82,Disulfiram_0.100_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_100.000,0.9862614501379501
83,Disulfiram_1.000_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_100.000,0.9837064693924481
84,Disulfiram_2.500_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_100.000,0.9824866886666503
85,Flagellin_0.100_DMSO_0.000,DMSO_0.100_Z-VAD-FMK_100.000,0.9752574556553518
86,Flagellin_0.100_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_100.000,0.9772414912510964
87,Flagellin_1.000_DMSO_0.000,DMSO_0.100_Z-VAD-FMK_100.000,0.9788841876743469
88,Flagellin_1.000_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_100.000,0.9794259884980462
89,Flagellin_1.000_Disulfiram_1.000,DMSO_0.100_Z-VAD-FMK_100.000,0.979852182188609
90,H2O2_100.000_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_100.000,0.982920901303734
91,H2O2_100.000_Disulfiram_1.000,DMSO_0.100_Z-VAD-FMK_100.000,0.9824342015401284
92,H2O2_100.000_Z-VAD-FMK_100.000,DMSO_0.100_Z-VAD-FMK_100.000,0.9835725791186907
93,LPS_0.010_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_100.000,0.9700388182520425
94,LPS_0.100_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_100.000,0.9739575944876679
95,LPS_1.000_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_100.000,0.9783638902244959
96,LPS_10.000_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_100.000,0.9793487442867458
97,LPS_10.000_Disulfiram_0.100,DMSO_0.100_Z-VAD-FMK_100.000,0.980917513696135
98,LPS_10.000_Disulfiram_1.000,DMSO_0.100_Z-VAD-FMK_100.000,0.9806580127228487
99,LPS_10.000_Disulfiram_2.500,DMSO_0.100_Z-VAD-FMK_100.000,0.9805148590079186
100,LPS_10.000_Z-VAD-FMK_100.000,DMSO_0.100_Z-VAD-FMK_100.000,0.9845416617583337
