Search query: ferroptosis
Year,Count
2024,218
2023,4374
2022,3167
2021,1745
2020,856
2019,408
2018,220
2017,131
2016,80
2015,41
2014,19
2013,8
2012,7
2011,1
2010,1
2008,1
2007,2
2006,1
2005,1
2004,1
2002,2
